"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"220";"Ka Motos";"Ka Motos";"NOVO";"";"(16) 3612-3479";"";"Motos";"Ribeirão Preto";"";"";"R. Ceará - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"221";"Décio Motos";"Décio Motos";"NOVO";"";"(16) 3931-4544";"";"Motos";"Ribeirão Preto";"";"";"Av. Dr. Francisco Junqueira - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"222";"Gordim Moto Peças e Acessórios";"Gordim Moto Peças e Acessórios";"NOVO";"";"(16) 99135-0775";"";"Motos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"223";"Oficina Alemotos";"Oficina Alemotos";"NOVO";"";"(16) 3630-0734";"";"Oficina de motos";"Ribeirão Preto";"";"";"R. Padre Anchieta, 1278 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"224";"Biela Auto Peças";"Biela Auto Peças";"NOVO";"";"(16) 3628-4978";"";"Autopeças";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"225";"Clinmater Consultório Médico";"Clinmater Consultório Médico";"NOVO";"";"(16) 98161-8135";"";"Clínica médica";"Ribeirão Preto";"";"";"Av. Nove de Julho, 1844 - Jardim América (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"226";"Clínica Médica Tibiriçá";"Clínica Médica Tibiriçá";"NOVO";"";"(16) 3632-9694";"";"Clínica médica";"Ribeirão Preto";"";"";"R. Tibiriçá - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"227";"Med Clínica";"Med Clínica";"NOVO";"";"(16) 3636-1200";"";"Clínica médica";"Ribeirão Preto";"";"";"R. Campos Salles - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"228";"Clínica Garibaldi";"Clínica Garibaldi";"NOVO";"";"(16) 3635-8007";"";"Clínica médica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"229";"Clínica Civil HC FAEPA";"Clínica Civil HC FAEPA";"NOVO";"";"(16) 3602-2158";"";"Clínica médica";"Ribeirão Preto";"";"";"Av. Bandeirantes - Vila Monte Alegre (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"230";"Uniclinic";"Uniclinic";"NOVO";"";"(16) 3636-5737";"";"Clínica médica";"Ribeirão Preto";"";"";"R. Eliseu Guilherme, 917 - Jardim Sumaré (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"231";"Medclinical Produtos Médicos e Hospitalares";"Medclinical Produtos Médicos e Hospitalares";"NOVO";"";"(16) 3976-5496";"";"Produtos médicos e hospitalares";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"232";"Hospital Ribeirânia";"Hospital Ribeirânia";"NOVO";"";"(16) 3968-3100";"";"Hospital";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"233";"Alvares Auto Center Funilaria e Pintura";"Alvares Auto Center Funilaria e Pintura";"NOVO";"";"(16) 3639-1800";"";"Funilaria e pintura";"Ribeirão Preto";"";"";"Av. Rio Pardo, 2370 - Planalto Verde (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"234";"Jaguar Máquinas e Ferramentas Motorizadas";"Jaguar Máquinas e Ferramentas Motorizadas";"NOVO";"";"(16) 98134-5960";"";"Máquinas agrícolas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"235";"Dinagro Agropecuária";"Dinagro Agropecuária";"NOVO";"";"(16) 3629-1110";"";"Agropecuária";"Ribeirão Preto";"";"";"Via Anhanguera - Recreio Anhanguera (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"236";"Copecar";"Copecar";"NOVO";"";"(16) 3637-2971";"";"Autopeças";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"237";"Sampaio Serviços Agrícolas";"Sampaio Serviços Agrícolas";"NOVO";"";"(16) 99181-3543";"";"Serviços agrícolas";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"238";"Open Perfumes Importados";"Open Perfumes Importados";"NOVO";"";"(16) 3610-4383";"";"Perfumaria";"Ribeirão Preto";"";"";"R. Barão do Amazonas - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"239";"Silvia Cosméticos";"Silvia Cosméticos";"NOVO";"";"(16) 3637-1678";"";"Cosméticos";"Ribeirão Preto";"";"";"R. Rangel Pestana, 491 - Vila Virgínia (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"240";"Planalto Farma";"Planalto Farma";"NOVO";"";"(16) 3975-7360";"";"Farmácia";"Ribeirão Preto";"";"";"R. Maria Tereza Braga Cerri - Planalto Verde (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"241";"Drogaria Juliana";"Drogaria Juliana";"NOVO";"";"(16) 3965-2469";"";"Farmácia";"Ribeirão Preto";"";"";"R. Dr. Urandy Vieira de Souza Leite - Conjunto Habitacional (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"242";"Perfumaria Cibele";"Perfumaria Cibele";"NOVO";"";"(16) 3965-1007";"";"Perfumaria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"243";"Pague Menos";"Pague Menos";"NOVO";"";"(16) 3625-1577";"";"Farmácia";"Ribeirão Preto";"";"";"Av. Treze de Maio - Jardim Paulista (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"244";"Esquina Móveis";"Esquina Móveis";"NOVO";"";"(16) 3625-4375";"";"Móveis para escritório";"Ribeirão Preto";"";"";"Av. Independência, 353 - Vila Seixas (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"245";"GIGA Telecomunicações";"GIGA Telecomunicações";"NOVO";"";"(16) 3620-9454";"";"Telecomunicações";"Ribeirão Preto";"";"";"Trav. Nadir Lara Mansini, 142 - Jardim São Luiz (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"246";"Acetron";"Acetron";"NOVO";"";"(16) 3632-3938";"";"Antenas";"Ribeirão Preto";"";"";"R. José Bonifácio, 363 - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"247";"Novatec";"Novatec";"NOVO";"";"(16) 3635-1464";"";"Telecomunicações";"Ribeirão Preto";"";"";"Av. Independência - Jardim Sumaré (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"248";"Gibacell";"Gibacell";"NOVO";"";"(16) 3289-1837";"";"Telecomunicações";"Ribeirão Preto";"";"";"R. São Sebastião - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"249";"Convex Internet Provedor";"Convex Internet Provedor";"NOVO";"";"(16) 2132-1000";"";"Provedor de internet";"Ribeirão Preto";"";"";"R. Bernardino de Campos - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"250";"Tecbell";"Tecbell";"NOVO";"";"(16) 3636-4719";"";"Telefonia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"251";"Nextel Telecomunicações";"Nextel Telecomunicações";"NOVO";"";"(16) 3941-6238";"";"Telecomunicações";"Ribeirão Preto";"";"";"R. Amadeu Amaral - Vila Seixas (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"252";"Rib Redes";"Rib Redes";"NOVO";"";"(16) 3639-4993";"";"Redes e cabeamento";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"253";"Marlene Despachante";"Marlene Despachante";"NOVO";"";"(16) 3626-2729";"";"Despachante";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"254";"Protecnica Laboratório de Prótese";"Protecnica Laboratório de Prótese";"NOVO";"";"(16) 3610-7640";"";"Prótese dentária";"Ribeirão Preto";"";"";"Av. Capitão Salomão, 1318 - Campos Elíseos (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"255";"Uniodonto";"Uniodonto";"NOVO";"";"(16) 3635-2551";"";"Odontologia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"256";"Núcleo Odonto";"Núcleo Odonto";"NOVO";"";"(16) 2102-2199";"";"Clínica odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"257";"Assistdente";"Assistdente";"NOVO";"";"(16) 3636-3064";"";"Assistência odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"258";"Odontobras";"Odontobras";"NOVO";"";"(16) 2102-4500";"";"Equipamentos odontológicos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"259";"Dental Tanaka";"Dental Tanaka";"NOVO";"";"(16) 3636-2700";"";"Produtos odontológicos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"260";"Clínica do Dente";"Clínica do Dente";"NOVO";"";"(16) 3941-2225";"";"Clínica odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"261";"Baroni Reciclagem";"Baroni Reciclagem";"NOVO";"";"(16) 3917-2574";"";"Reciclagem";"Ribeirão Preto";"";"";"R. Athaulfo Alves - Parque Anhanguera (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"262";"Grupo Zulmira";"Grupo Zulmira";"NOVO";"";"(16) 3969-9520";"";"Reciclagem";"Ribeirão Preto";"";"";"R. Peru - Vila Mariana (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"263";"Ferro Velho Paraná";"Ferro Velho Paraná";"NOVO";"";"(16) 3963-2349";"";"Ferro velho";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"264";"Livraria Saraiva";"Livraria Saraiva";"NOVO";"";"(16) 3519-3371";"";"Livraria";"Ribeirão Preto";"";"";"R. São José, 933 - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"265";"ABC Papelaria e Livraria";"ABC Papelaria e Livraria";"NOVO";"";"(16) 3011-8860";"";"Papelaria e livraria";"Ribeirão Preto";"";"";"R. Santa Catarina - Ipiranga (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"266";"Livraria Monteiro Lobato";"Livraria Monteiro Lobato";"NOVO";"";"(16) 3637-3427";"";"Livraria";"Ribeirão Preto";"";"";"R. Rangel Pestana - Vila Virgínia (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"267";"Monteiro Lobato Papelaria e Livraria";"Monteiro Lobato Papelaria e Livraria";"NOVO";"";"(16) 3966-1263";"";"Papelaria e livraria";"Ribeirão Preto";"";"";"R. Cel. Camisão - Vila Monte Alegre (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"268";"Marcos Eletricista";"Marcos Eletricista";"NOVO";"";"(16) 3043-3889";"";"Instalações elétricas";"Ribeirão Preto";"";"";"Trav. Eloísa - Campos Elíseos (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"269";"Ponto da Eletricidade";"Ponto da Eletricidade";"NOVO";"";"(16) 3636-5665";"";"Materiais elétricos";"Ribeirão Preto";"";"";"R. Bartolomeu de Gusmão - Vila Tibério (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
